Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
26578,1.11,Ideal,I,SI1,62.2,54.0,6.64,6.68,4.14,5006
15808,0.7,Very Good,F,VVS1,59.3,62.0,5.74,5.77,3.41,3270
7020,1.2,Ideal,J,SI2,61.7,56.0,6.87,6.79,4.21,4744
16694,0.84,Premium,H,SI2,61.3,58.0,6.1,6.04,3.72,2628
25762,1.21,Very Good,G,SI2,62.7,59.0,6.66,6.74,4.2,5308
6758,1.01,Ideal,G,VS2,61.9,58.0,6.37,6.43,3.96,6449
6113,0.3,Ideal,D,SI1,61.7,57.0,4.28,4.31,2.65,524
4367,0.54,Ideal,F,VVS1,60.8,56.0,5.28,5.34,3.23,2356
11521,0.33,Premium,H,IF,60.3,59.0,4.49,4.47,2.7,1114
23696,1.0,Good,E,VS2,61.5,62.0,6.37,6.42,3.93,6073
1089,0.92,Premium,E,SI1,62.1,58.0,6.22,6.15,3.84,4482
19182,1.03,Ideal,H,SI1,59.8,57.0,6.64,6.57,3.95,5018
9254,1.19,Good,H,VS1,60.8,61.0,6.86,6.88,4.18,7152
13627,1.14,Premium,H,VS2,61.7,60.0,6.74,6.67,4.14,5937
5676,1.34,Very Good,H,SI2,61.1,63.0,7.08,7.01,4.3,4352
23782,0.36,Good,D,VS2,63.4,54.0,4.51,4.57,2.88,739
20867,0.72,Ideal,E,VS2,60.8,56.0,5.81,5.84,3.54,3304
7150,0.7,Very Good,F,VS2,61.7,63.0,5.64,5.61,3.47,2762
9690,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,583
21005,0.51,Ideal,E,VS2,61.9,56.0,5.12,5.16,3.18,1656
12540,0.38,Ideal,D,VVS2,61.3,56.0,4.73,4.63,2.87,1257
6161,0.38,Ideal,E,VS1,61.4,56.0,4.66,4.69,2.87,920
13457,1.01,Good,J,SI2,59.5,62.0,6.42,6.46,3.83,3756
11283,0.31,Ideal,J,VS2,61.8,54.1,4.35,4.38,2.7,400
10195,0.39,Very Good,D,VS2,59.5,57.0,4.79,4.82,2.86,1040
22643,0.33,Very Good,G,VVS1,61.2,60.0,4.42,4.44,2.71,868
10565,0.74,Ideal,H,VVS2,61.2,57.0,5.79,5.85,3.56,2961
22815,1.2,Very Good,G,IF,60.9,55.0,6.9,6.93,4.21,10497
26083,0.34,Ideal,G,VS2,61.6,56.0,4.48,4.51,2.77,573
24721,0.31,Premium,I,SI1,62.8,60.0,4.31,4.29,2.7,537
18478,0.43,Ideal,G,VVS2,60.9,57.0,4.9,4.85,2.97,1129
10858,0.72,Very Good,E,SI1,62.0,57.0,5.73,5.76,3.56,2562
10363,1.18,Ideal,H,SI1,61.4,55.0,6.84,6.78,4.18,6013
12586,1.34,Very Good,J,SI2,62.7,56.0,7.05,7.08,4.43,5335
7402,1.0,Good,H,VS1,61.8,61.0,6.4,6.31,3.93,5219
21841,0.4,Good,E,SI2,64.2,57.0,4.68,4.7,3.01,617
4543,0.4,Ideal,D,VS2,61.6,55.0,4.75,4.79,2.94,1226
15280,0.3,Premium,D,VS2,62.0,58.0,4.32,4.29,2.67,911
2906,0.34,Premium,E,SI1,61.8,58.0,4.5,4.47,2.77,765
9344,0.91,Premium,E,SI1,62.1,58.0,6.15,6.18,3.83,4332
22213,0.53,Ideal,D,VS2,61.4,55.0,5.24,5.21,3.21,1704
